,Date,SPG_High_Prices,SPG_Low_Prices,SPG_Closed_Prices
104,2022-10-07,30.22,29.06,29.39
105,2022-10-06,30.915,30.15,30.62
106,2022-10-05,30.75,29.8,30.52
107,2022-10-04,30.82,29.25,30.75
108,2022-10-03,28.5,27.2,28.26
109,2022-09-30,28.5913,27.885,28.06
110,2022-09-29,28.93,28.08,28.44
111,2022-09-28,29.635,28.26,29.49
112,2022-09-27,28.93,27.8,28.5
113,2022-09-26,29.13,28.015,28.02
114,2022-09-23,29.58,28.48,29.02
115,2022-09-22,31.2,29.725,29.96
116,2022-09-21,32.46,31.08,31.16
117,2022-09-20,33.27,32.26,32.75
118,2022-09-19,33.11,31.83,32.94
119,2022-09-16,32.815,31.79,32.11
120,2022-09-15,33.74,32.45,33.28
121,2022-09-14,32.69,30.82,32.66
122,2022-09-13,32.365,31.59,31.74
123,2022-09-12,33.445,32.72,33.15
124,2022-09-09,32.76,32.235,32.66
125,2022-09-08,32.49,31.55,32.12
126,2022-09-07,32.3394,31.265,32.23
127,2022-09-06,31.65,30.655,31.19
128,2022-09-02,31.83,30.695,30.94
129,2022-09-01,31.14,29.94,31.09
130,2022-08-31,32.02,31.06,31.07
131,2022-08-30,32.45,31.465,31.72
132,2022-08-29,32.355,31.85,32.03
133,2022-08-26,34.26,32.65,32.68
134,2022-08-25,34.16,33.5207,33.99
135,2022-08-24,33.41,32.67,33.31
136,2022-08-23,33.015,32.27,32.87
137,2022-08-22,32.5,31.8525,32.38
138,2022-08-19,34.06,33.06,33.25
139,2022-08-18,34.61,34.025,34.49
140,2022-08-17,34.92,34.055,34.54
141,2022-08-16,35.79,34.705,35.34
142,2022-08-15,35.48,34.48,35.0
143,2022-08-12,34.605,34.08,34.5
144,2022-08-11,34.79,33.845,33.96
145,2022-08-10,34.53,33.89,33.93
146,2022-08-09,33.6,32.7278,33.21
147,2022-08-08,34.11,33.285,33.75
148,2022-08-05,33.4,32.78,32.94
149,2022-08-04,33.605,32.9243,33.33
150,2022-08-03,33.32,32.08,33.25
151,2022-08-02,32.4319,31.285,31.82
152,2022-08-01,32.3,31.25,32.23
153,2022-07-29,32.035,31.4401,31.8
154,2022-07-28,31.72,30.59,31.7
155,2022-07-27,31.65,30.74,31.5
156,2022-07-26,31.205,30.5738,30.64
157,2022-07-25,31.51,30.72,31.41
158,2022-07-22,32.48,31.29,31.35
159,2022-07-21,32.145,31.29,31.96
160,2022-07-20,33.075,32.135,32.85
161,2022-07-19,32.73,31.81,32.6
162,2022-07-18,31.99,31.06,31.14
163,2022-07-15,30.435,29.54,30.09
164,2022-07-14,30.4,29.1,29.77
165,2022-07-13,29.75,28.345,29.7
166,2022-07-12,31.54,29.27,31.09
167,2022-07-11,30.01,29.17,29.29
168,2022-07-08,30.425,29.49,29.72
169,2022-07-07,30.195,29.43,29.91
170,2022-07-06,30.2,29.175,29.53
171,2022-07-05,29.83,28.14,29.82
172,2022-07-01,29.731,28.67,29.52
173,2022-06-30,29.22,28.095,28.97
174,2022-06-29,30.01,29.205,29.64
175,2022-06-28,32.24,30.2801,30.33
176,2022-06-27,31.4,30.34,30.44
177,2022-06-24,31.29,29.52,31.2
178,2022-06-23,30.12,28.7935,29.56
179,2022-06-22,30.49,29.6,30.0
180,2022-06-21,30.96,29.76,30.05
181,2022-06-17,30.48,28.76,30.26
182,2022-06-16,30.88,29.21,29.58
183,2022-06-15,32.74,31.35,31.96
184,2022-06-14,32.77,30.86,31.38
185,2022-06-13,34.1,32.01,32.21
186,2022-06-10,37.1,35.0,35.12
187,2022-06-09,38.21,36.71,36.75
188,2022-06-08,39.53,38.17,38.22
189,2022-06-07,39.79,38.249,39.74
190,2022-06-06,39.29,38.305,39.0
191,2022-06-03,39.42,38.055,38.54
192,2022-06-02,40.29,39.22,39.99
193,2022-06-01,42.3,39.23,39.54
194,2022-05-31,42.45,40.58,41.69
195,2022-05-27,42.23,41.0,42.23
196,2022-05-26,41.235,39.0,40.83
197,2022-05-25,38.69,37.026,38.6
198,2022-05-24,38.95,36.78,37.22
199,2022-05-23,39.99,38.72,39.52
200,2022-05-20,40.05,37.635,38.64
201,2022-05-19,39.915,38.65,39.24
202,2022-05-18,40.83,39.005,39.31
203,2022-05-17,40.82,39.205,40.72
204,2022-05-16,39.0,38.11,38.17
205,2022-05-13,38.45,37.45,38.33
206,2022-05-12,37.76,35.7,36.67
207,2022-05-11,39.92,37.71,37.89
208,2022-05-10,39.33,37.85,38.68
209,2022-05-09,40.45,38.02,38.25
210,2022-05-06,41.97,40.4,41.0
211,2022-05-05,43.74,41.795,42.13
212,2022-05-04,43.965,42.34,43.85
213,2022-05-03,43.69,42.21,43.35
214,2022-05-02,43.4,41.57,42.67
215,2022-04-29,44.75,42.8225,43.03
216,2022-04-28,44.415,42.89,44.33
217,2022-04-27,43.435,41.76,43.11
218,2022-04-26,43.05,41.55,41.9
219,2022-04-25,43.545,42.23,43.27
220,2022-04-22,45.35,43.55,43.69
221,2022-04-21,46.27,44.54,44.73
222,2022-04-20,44.24,43.19,43.54
223,2022-04-19,43.77,42.72,43.04
224,2022-04-18,43.07,41.85,42.13
225,2022-04-14,42.8691,41.33,42.36
226,2022-04-13,41.1,39.81,41.02
227,2022-04-12,38.95,37.77,38.62
228,2022-04-11,38.56,36.53,38.21
229,2022-04-08,37.34,36.505,36.74
230,2022-04-07,37.5,36.175,37.13
231,2022-04-06,38.06,36.715,37.59
232,2022-04-05,39.87,38.565,39.03
233,2022-04-04,39.615,38.71,39.4
234,2022-04-01,39.9,39.01,39.31
235,2022-03-31,40.1,39.24,39.57
236,2022-03-30,39.53,38.91,39.33
237,2022-03-29,40.26,39.13,39.52
238,2022-03-28,38.61,37.44,38.34
239,2022-03-25,38.24,37.24,37.91
