,Date,DAL_High_Prices,DAL_Low_Prices,DAL_Closed_Prices
142,2022-08-15,115.62,113.1,113.25
143,2022-08-12,115.99,114.14,115.85
144,2022-08-11,114.81,112.7,114.07
145,2022-08-10,111.52,109.71,111.38
146,2022-08-09,108.885,107.1,108.01
147,2022-08-08,110.1393,107.61,108.84
148,2022-08-05,106.62,104.87,106.5
149,2022-08-04,107.41,104.95,105.82
150,2022-08-03,108.37,106.59,106.93
151,2022-08-02,110.96,105.25,105.48
152,2022-08-01,109.2,107.08,108.63
153,2022-07-29,109.26,107.46,108.64
154,2022-07-28,107.56,104.778,107.46
155,2022-07-27,104.61,102.43,104.12
156,2022-07-26,103.78,102.0598,102.58
157,2022-07-25,104.63,103.1138,104.03
158,2022-07-22,105.38,103.28,103.68
159,2022-07-21,104.26,102.0,104.24
160,2022-07-20,104.315,101.54,103.45
161,2022-07-19,102.555,99.14,102.27
162,2022-07-18,98.83,97.3,98.64
163,2022-07-15,96.75,94.75,96.36
164,2022-07-14,94.89,93.06,94.0
165,2022-07-13,97.15,95.04,95.56
166,2022-07-12,99.14,96.98,97.6
167,2022-07-11,97.51,95.73,97.22
168,2022-07-08,98.2155,96.18,97.69
169,2022-07-07,98.28,96.65,97.88
170,2022-07-06,98.47,96.01,96.42
171,2022-07-05,97.6,93.51,97.57
172,2022-07-01,95.97,93.79,95.68
173,2022-06-30,96.43,93.2,94.92
174,2022-06-29,99.0,96.42,97.26
175,2022-06-28,102.48,99.14,99.25
176,2022-06-27,101.44,98.75,100.12
177,2022-06-24,100.5213,97.49,99.62
178,2022-06-23,97.04,95.19,96.7
179,2022-06-22,97.7225,94.83,95.95
180,2022-06-21,98.64,96.47,96.59
181,2022-06-17,97.35,94.94,95.69
182,2022-06-16,95.73,93.5,94.62
183,2022-06-15,98.93,95.97,97.5
184,2022-06-14,98.31,95.715,96.51
185,2022-06-13,98.75,95.46,97.15
186,2022-06-10,103.34,101.22,101.26
187,2022-06-09,107.45,103.84,103.87
188,2022-06-08,110.29,107.62,107.87
189,2022-06-07,112.325,108.56,112.28
190,2022-06-06,111.1,109.1104,109.62
191,2022-06-03,111.61,109.58,109.95
192,2022-06-02,112.33,109.87,112.32
193,2022-06-01,115.2852,109.82,111.17
194,2022-05-31,115.29,112.11,114.65
195,2022-05-27,114.64,112.406,113.73
196,2022-05-26,112.82,110.0,112.03
197,2022-05-25,110.27,106.89,109.19
198,2022-05-24,108.13,103.46,107.85
199,2022-05-23,110.4591,107.23,107.77
200,2022-05-20,111.195,105.72,108.84
201,2022-05-19,114.63,109.91,110.04
202,2022-05-18,119.69,113.16,113.67
203,2022-05-17,120.92,118.18,120.76
204,2022-05-16,118.125,115.5,116.87
205,2022-05-13,117.68,115.18,116.78
206,2022-05-12,116.28,111.1736,115.62
207,2022-05-11,120.0,112.78,113.01
208,2022-05-10,125.99,117.94,119.07
209,2022-05-09,120.78,117.61,118.19
210,2022-05-06,122.96,118.64,121.42
211,2022-05-05,124.29,121.12,122.34
212,2022-05-04,125.175,119.58,124.58
213,2022-05-03,121.7,116.25,120.87
214,2022-05-02,119.08,113.41,116.84
215,2022-04-29,123.98,117.78,118.0
216,2022-04-28,125.05,120.82,124.41
217,2022-04-27,125.195,122.06,122.13
218,2022-04-26,126.96,124.03,124.13
219,2022-04-25,126.7,123.93,126.29
220,2022-04-22,130.84,125.72,125.88
221,2022-04-21,134.8,130.56,130.85
222,2022-04-20,133.5,131.0367,132.59
223,2022-04-19,131.7513,127.89,131.32
224,2022-04-18,129.11,127.1,127.89
225,2022-04-14,129.45,127.69,127.88
226,2022-04-13,128.71,125.76,127.58
227,2022-04-12,128.92,125.71,126.18
228,2022-04-11,129.1,126.33,126.78
229,2022-04-08,128.52,125.485,127.47
230,2022-04-07,127.52,123.48,125.51
231,2022-04-06,130.18,126.27,127.86
232,2022-04-05,135.63,130.31,130.58
233,2022-04-04,134.89,131.145,134.53
234,2022-04-01,133.26,131.26,133.0
235,2022-03-31,135.41,131.55,131.56
236,2022-03-30,138.65,134.335,134.79
237,2022-03-29,138.43,133.59,138.08
238,2022-03-28,131.8,129.655,131.75
239,2022-03-25,131.1778,129.64,130.17
240,2022-03-24,130.53,129.05,130.13
241,2022-03-23,132.7,129.875,130.01
242,2022-03-22,134.45,130.8601,132.84
243,2022-03-21,131.82,127.97,129.06
244,2022-03-18,131.56,129.4715,130.84
245,2022-03-17,132.41,129.942,131.65
246,2022-03-16,132.46,128.29,131.33
247,2022-03-15,130.03,127.03,128.88
248,2022-03-14,132.545,126.76,128.19
249,2022-03-11,134.09,130.0,130.05
250,2022-03-10,132.93,129.47,132.61
251,2022-03-09,135.32,132.44,132.57
252,2022-03-08,133.89,128.1,131.39
253,2022-03-07,135.89,128.2,128.27
254,2022-03-04,137.91,133.82,136.89
255,2022-03-03,140.9399,137.56,139.41
